,Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Genres,Label,Copyrights,Album Release Year
9253,spotify:track:76BtDl4DAanDL0jNuXCpp1,Don't You Know Who I Am? - Remastered,spotify:artist:4KQLA0IabIwyfoeh7ytGxS,Small Mercies,spotify:album:0W5xuYUE3eC7sbHugwsvpm,Beautiful Hum,spotify:artist:4KQLA0IabIwyfoeh7ytGxS,Small Mercies,2008-05-24,https://i.scdn.co/image/ab67616d0000b273772ead418725d22673024064,1,8,236146,https://p.scdn.co/mp3-preview/b9a0a7211426535b990114e700dcd55216654239?cid=9950ac751e34487dbbe027c4fd7f8e99,False,4,AUBM00800177,spotify:user:bradnumber1,2021-08-08T09:26:31Z,,0.486,0.919,8.0,-2.749,0.0,0.0687,0.00426,7.63e-06,0.0539,0.496,140.887,4.0,,Sony BMG Music Entertainment,"P (P) 2008 John Woodruff Management Pty Limited, under exclusive licence to Sony Music Entertainment Australia Pty Ltd",2008
9254,spotify:track:7aKOynv41IGU8uiXmpz7ok,When I Grow Up,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls,spotify:album:6WGJ3lgccWlOoOQLFyjvBe,Doll Domination (Revised International Version),spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls,2008,https://i.scdn.co/image/ab67616d0000b273ad514c6d527d38c25faa6bd2,1,1,245680,,False,0,USUM70813999,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,girl group,pop",0.673,0.686,11.0,-5.745,0.0,0.0454,0.00154,0.0,0.382,0.34,118.43,4.0,,Pussycat Dolls LP2 / Timbaland,"C © 2009 Pussycat Dolls, LLC, P ℗ 2009 Pussycat Dolls, LLC",2008
9255,spotify:track:5sS4g0adkAUXvLJHQ1i2kj,Little L,spotify:artist:6J7biCazzYhU3gM9j1wfid,Jamiroquai,spotify:album:2M50cB74zAc1lQNlrlYHxY,A Funk Odyssey,spotify:artist:6J7biCazzYhU3gM9j1wfid,Jamiroquai,2001-09-03,https://i.scdn.co/image/ab67616d0000b2736671e841210d4a9a91920144,1,2,295400,,False,0,GBBBN0102227,spotify:user:bradnumber1,2021-08-08T09:26:31Z,dance pop,0.878,0.724,10.0,-5.373,0.0,0.129,0.168,0.0116,0.133,0.904,121.906,4.0,,S2,P (P) 2001 Sony Music Entertainment (UK) Ltd.,2001
9256,spotify:track:4MAxq4eEuuyE97wodPnisY,Sad,spotify:artist:04gDigrS5kc9YWfZHwBETP,Maroon 5,spotify:album:6ijGiBcBfUwkoyHn5VUHU2,Overexposed Track By Track,spotify:artist:04gDigrS5kc9YWfZHwBETP,Maroon 5,2012-01-01,https://i.scdn.co/image/ab67616d0000b273fc8633e22a7dba6aab817bff,1,18,193826,https://p.scdn.co/mp3-preview/a8554ff77812bce922444820628aaa6c89155bcb?cid=9950ac751e34487dbbe027c4fd7f8e99,False,53,USUM71204777,spotify:user:bradnumber1,2021-08-08T09:26:31Z,pop,0.781,0.262,7.0,-9.189,1.0,0.0321,0.797,0.0,0.1,0.338,111.92,4.0,,Interscope Records*,"C © 2012 A&M/Octone Records, P ℗ 2012 Interscope Records",2012
9261,spotify:track:6X4JeTWCuKEzKOEHXDtyBo,Little Red Corvette - Single Version,spotify:artist:5a2EaR3hamoenG9rDuVn8j,Prince,spotify:album:7mhrGQKxLFJPY2J4TXtA0A,4Ever,spotify:artist:5a2EaR3hamoenG9rDuVn8j,Prince,2016-11-22,https://i.scdn.co/image/ab67616d0000b27301866120db5f973e61e4e40c,1,2,188613,https://p.scdn.co/mp3-preview/077a6781ebb405cddcac3d3cdf90c17edd51ca5d?cid=9950ac751e34487dbbe027c4fd7f8e99,False,48,USWB11601762,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"funk,funk rock,minneapolis sound,rock,synth funk",0.777,0.7,1.0,-11.045,1.0,0.0869,0.235,8.02e-06,0.836,0.802,122.94,4.0,,Warner Records,"C © This Compilation C2016 NPG Records Inc. under exclusive license to Warner Records Inc., P ℗ 2016 This Compilation NPG Records Inc. under exclusive license to Warner Records Inc.",2016
9263,spotify:track:3ltMcnXZh3KiQba6RleHSd,Overdrive,spotify:artist:4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,spotify:album:77mNp2LeMZIgMH1XsKUzQn,Overdrive,spotify:artist:4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,2021-02-19,https://i.scdn.co/image/ab67616d0000b273cd673c55085bce096c5f4b06,1,1,183070,https://p.scdn.co/mp3-preview/5d29cae079747ae113b9b5b6da2e166a2f133fc2?cid=9950ac751e34487dbbe027c4fd7f8e99,False,35,USUM72100678,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"bedroom pop,pop,pov: indie",0.574,0.777,5.0,-6.279,1.0,0.0395,0.00915,0.0,0.125,0.457,105.0,4.0,,Universal Records,"C © 2021 Republic Records, a division of UMG Recordings, Inc., P ℗ 2021 Republic Records, a division of UMG Recordings, Inc.",2021
9265,spotify:track:2JCY7F0JFw5AgZYeC3CHtS,Hold Up,spotify:artist:6vWDO969PvNqNYHIOW5v0m,Beyoncé,spotify:album:4X6b6POxbjX9inC7TWQd54,Lemonade,spotify:artist:6vWDO969PvNqNYHIOW5v0m,Beyoncé,2016-04-23,https://i.scdn.co/image/ab67616d0000b27332b4549ef8443fcabef4c883,1,2,221106,https://p.scdn.co/mp3-preview/7825c8a361979e7d7ec71db80ab80def1da358e7?cid=9950ac751e34487dbbe027c4fd7f8e99,False,41,USSM11603188,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"pop,r&b",0.49,0.401,0.0,-11.929,1.0,0.415,0.724,0.0,0.526,0.549,78.672,4.0,,Parkwood Entertainment/Columbia,"P (P) 2019 Parkwood Entertainment LLC, under exclusive license to Columbia Records, a Division of Sony Music Entertainment",2016
9266,spotify:track:5lz5nAO1HA7nntRU5k0IzH,Somewhere,spotify:artist:3g4Os4LNZvOQUaokeSLCwG,P.J. Proby,spotify:album:3AsA1h6kQvqdnfaC1lu8Tx,Best Of The EMI Years (1961-1972),spotify:artist:3g4Os4LNZvOQUaokeSLCwG,P.J. Proby,2008-01-01,https://i.scdn.co/image/ab67616d0000b27366490268e0ef08f61eae37fd,1,4,199000,https://p.scdn.co/mp3-preview/73834fb14240091834863482aba85e09293bab65?cid=9950ac751e34487dbbe027c4fd7f8e99,False,32,USEM39000219,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"classic uk pop,merseybeat,rock-and-roll",0.225,0.507,6.0,-8.835,1.0,0.0371,0.854,3.22e-05,0.0928,0.432,77.65,4.0,,EMI Gold,"C © 2008 EMI Records Ltd, P This Compilation ℗ 2008 EMI Records Ltd",2008
9267,spotify:track:6ZPRExukAxweKNOHkBUZ4O,Mysterious Ways,spotify:artist:51Blml2LZPmy7TTiAg47vQ,U2,spotify:album:7k7aHoW1MGWWQR0KXvswkx,U218 Singles (Deluxe Version),spotify:artist:51Blml2LZPmy7TTiAg47vQ,U2,2006-01-01,https://i.scdn.co/image/ab67616d0000b273a589a051c46a5ff41125e9d6,1,7,242773,,False,0,GBAAN9190008,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"irish rock,permanent wave,rock",0.673,0.713,8.0,-6.514,1.0,0.027,0.00176,0.0125,0.107,0.721,99.76,4.0,,Universal Music Group,"C © 2006 Universal-Island Records Ltd., P ℗ 2006 Universal-Island Records Ltd.",2006
9271,spotify:track:1yNyoWWWikbLhwIGWjZuDW,All Night,"spotify:artist:7gAppWoH7pcYmphCVTXkzs, spotify:artist:4YXycRbyyAE0wozTk7QMEq","The Vamps, Matoma",spotify:album:4IKqYStmGY9UyG9RP1CA2Q,All Night,"spotify:artist:7gAppWoH7pcYmphCVTXkzs, spotify:artist:4YXycRbyyAE0wozTk7QMEq","The Vamps, Matoma",2016-10-14,https://i.scdn.co/image/ab67616d0000b273f03c9779c27137669304ea20,1,1,197793,,False,0,GBUM71605342,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"boy band,pop,pop dance,tropical house",0.563,0.775,8.0,-6.433,1.0,0.0366,0.00251,0.0,0.326,0.458,144.945,4.0,,Universal Music Group,"C © 2016 Virgin EMI Records, a division of Universal Music Operations Limited, P ℗ 2016 Virgin EMI Records, a division of Universal Music Operations Limited",2016
9272,spotify:track:1bWh6WbYzSFxsOKzE4EpUu,Good Days,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,SZA,spotify:album:5JdcspRtnXWhBdvcGlfS3U,Good Days,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,SZA,2020-12-25,https://i.scdn.co/image/ab67616d0000b2738a8e89f89a2a8e3f9e9f1e0c,1,1,279204,https://p.scdn.co/mp3-preview/948f2829b13f184cedb89f44283cddac68569212?cid=9950ac751e34487dbbe027c4fd7f8e99,False,56,USRC12004190,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"pop,r&b,rap",0.472,0.655,1.0,-8.392,0.0,0.0561,0.488,1.33e-05,0.688,0.416,120.856,4.0,,Top Dawg Entertainment/RCA Records,"P (P) 2020 Top Dawg Entertainment, under exclusive license to RCA Records",2020
9273,spotify:track:49ZEWSKtYA3vpPdPLDW9b3,Black & Blue,spotify:artist:5PjekOABtfU2Kwo0AHVmci,Guy Sebastian,spotify:album:3Gx58ibjQuiP6DnHu6bOhS,Black & Blue,spotify:artist:5PjekOABtfU2Kwo0AHVmci,Guy Sebastian,2015-11-13,https://i.scdn.co/image/ab67616d0000b273b9a5d04d17225cb659b8dc3b,1,1,219314,https://p.scdn.co/mp3-preview/ef416109a9c64a5918ed92b80ecf4e394dc2cc3b?cid=9950ac751e34487dbbe027c4fd7f8e99,False,34,AUBM01500470,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"australian pop,australian talent show",0.775,0.777,9.0,-4.725,0.0,0.33,0.278,0.000117,0.243,0.379,114.01,4.0,,Sony Music Entertainment,P (P) 2015 Sony Music Entertainment Australia Pty Ltd.,2015
9277,spotify:track:1SJhFhvKS5eAymk54HMWyM,Keep On Dancing,spotify:artist:35rZNMlMkBs7ghHmGKt0xq,Mike Waters,spotify:album:0D207ivJSjZuncyBgvrXHt,Keep On Dancing,spotify:artist:35rZNMlMkBs7ghHmGKt0xq,Mike Waters,2021-05-28,https://i.scdn.co/image/ab67616d0000b2736f1bef8da02f9f986cccaee2,1,1,152706,https://p.scdn.co/mp3-preview/fe98f012102b8676fdebb2b24416e46d242015fa?cid=9950ac751e34487dbbe027c4fd7f8e99,False,29,AUBM02100088,spotify:user:bradnumber1,2021-08-08T09:26:31Z,folk-pop,0.705,0.704,9.0,-5.628,1.0,0.0498,0.0331,0.0,0.385,0.528,115.078,4.0,,Sony Music Entertainment,P (P) 2021 Mike Waters under exclusive licence to Sony Music Entertainment Australia Pty Ltd,2021
9284,spotify:track:1nOcjkKgryMCwU1QNFlAgn,Rise & Fall (feat. Sting),"spotify:artist:2JyWXPbkqI5ZJa3gwqVa0c, spotify:artist:0Ty63ceoRnnJKVEYP0VQpk","Craig David, Sting",spotify:album:1YI5yNJkzhBpN0BoK9AO4B,Rewind - The Collection,spotify:artist:2JyWXPbkqI5ZJa3gwqVa0c,Craig David,2017-03-03,https://i.scdn.co/image/ab67616d0000b273caab4c5bfeaaa5adb89379c6,1,3,287586,https://p.scdn.co/mp3-preview/e560c1be4bc21630ac510251ba4c108e1df68628?cid=9950ac751e34487dbbe027c4fd7f8e99,False,36,GBAWV0203029,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"british soul,permanent wave,soft rock,sophisti-pop",0.386,0.638,6.0,-6.097,0.0,0.0635,0.296,0.0,0.632,0.764,83.243,4.0,,Sony Music UK,"P (P) 2001, 2002, 2005, 2008 & 2017 Wildstar Records Limited, licensed exclusively to Sony Music Entertainment UK Limited",2017
9286,spotify:track:6RxO08wzUmlE1sBc1bNZNW,Best Day Of My Life - Single Version,spotify:artist:0MlOPi3zIDMVrfA9R04Fe3,American Authors,spotify:album:5UWYYI5FapJVmGqwQ8d0iS,"Oh, What A Life",spotify:artist:0MlOPi3zIDMVrfA9R04Fe3,American Authors,2014-01-01,https://i.scdn.co/image/ab67616d0000b2735555496a9c148ed4fbeeea09,1,3,194240,https://p.scdn.co/mp3-preview/caf61e3a88f77f587e097076ac1590f11a590e88?cid=9950ac751e34487dbbe027c4fd7f8e99,False,63,USUM71302187,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"modern rock,pop rock",0.673,0.902,2.0,-2.392,1.0,0.0346,0.0591,0.000262,0.0558,0.538,100.012,4.0,,Island Records,"C © 2014 The Island Def Jam Music Group, P ℗ 2014 The Island Def Jam Music Group",2014
9292,spotify:track:6habFhsOp2NvshLv26DqMb,Despacito,"spotify:artist:4V8Sr092TqfHkfAA5fXXqG, spotify:artist:4VMYDCV2IEDYJArk749S6m","Luis Fonsi, Daddy Yankee",spotify:album:5C0YLr4OoRGFDaqdMQmkeH,VIDA,spotify:artist:4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi,2019-02-01,https://i.scdn.co/image/ab67616d0000b273ef0d4234e1a645740f77d59c,1,9,229360,https://p.scdn.co/mp3-preview/2ea246524bf5a1a6432d4cf1b911a98bd84e3e8e?cid=9950ac751e34487dbbe027c4fd7f8e99,False,84,USUM71607007,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"latin pop,puerto rican pop,latin hip hop,reggaeton,trap latino,urbano latino",0.655,0.797,2.0,-4.787,1.0,0.153,0.198,0.0,0.067,0.839,177.928,4.0,,UMLE - Latino,"C © 2019 UMG Recordings, Inc., P ℗ 2019 UMG Recordings, Inc.",2019
9298,spotify:track:3Iyzdie1LZW22Z9S2hIvHl,You Don't Know Love,spotify:artist:3whuHq0yGx60atvA2RCVRW,Olly Murs,spotify:album:0KkBk51wuZ5hUPwHQAiYG9,You Don't Know Love,spotify:artist:3whuHq0yGx60atvA2RCVRW,Olly Murs,2016-07-08,https://i.scdn.co/image/ab67616d0000b273d6b5d9fa1cb7bf58e2fde17b,1,1,198480,,False,0,GBARL1600726,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,pop,talent show",0.676,0.655,2.0,-5.705,0.0,0.0496,0.00091,0.0,0.224,0.371,118.673,4.0,,RCA Records Label,P (P) 2016 Sony Music Entertainment UK Limited,2016
9299,spotify:track:5xzCzOAOfRi4DOttSzvznR,Lullaby,"spotify:artist:1IueXOQyABrMOprrzwQJWN, spotify:artist:4fwuXg6XQHfdlOdmw36OHa","Sigala, Paloma Faith",spotify:album:1SR7c6j94aiuYEhUrfTbZ7,Lullaby,"spotify:artist:1IueXOQyABrMOprrzwQJWN, spotify:artist:4fwuXg6XQHfdlOdmw36OHa","Sigala, Paloma Faith",2018-02-23,https://i.scdn.co/image/ab67616d0000b273e9330809e667c48fa179f56b,1,1,204022,https://p.scdn.co/mp3-preview/a00555fc5b366a40c10f8705ba0afddccf2abd6e?cid=9950ac751e34487dbbe027c4fd7f8e99,False,61,GBCEN1700257,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,edm,pop dance,uk dance,uk pop,british soul,talent show",0.725,0.834,5.0,-3.913,0.0,0.037,0.0784,1.27e-05,0.0834,0.859,120.026,4.0,,Ministry of Sound Recordings,"P (P) 2018 Ministry of Sound Recordings Limited / B1 Recordings GmbH, a Sony Music Entertainment Company",2018
9302,spotify:track:6g1GfM69yPWBt5nYEN04xu,The Stripper,spotify:artist:5ZsSQKAEppzogR04EeQ60l,David Rose & His Orchestra,spotify:album:5l2dl30d8X3bZZriwIExPv,Music Of The Stripper,spotify:artist:5ZsSQKAEppzogR04EeQ60l,David Rose & His Orchestra,2006-01-01,https://i.scdn.co/image/ab67616d0000b2736113b5a9d5a002a5b3efe901,1,1,117640,https://p.scdn.co/mp3-preview/e30f5730fcb1b87a978150af0c3e321ce46c948b?cid=9950ac751e34487dbbe027c4fd7f8e99,False,22,ADA010903901,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"light music,man's orchestra",0.464,0.42,5.0,-12.649,1.0,0.028,0.843,0.973,0.262,0.591,94.57,4.0,,Gambit Records,C 2006 Gambit Records,2006
9303,spotify:track:26s79pNvksAh8tlEembKm3,"The Island, Pt. II (Dusk)",spotify:artist:7MqnCTCAX6SsIYYdJCQj9B,Pendulum,spotify:album:3XtEGVx9uh7J46nBzEc1VS,Immersion,spotify:artist:7MqnCTCAX6SsIYYdJCQj9B,Pendulum,2010-05-21,https://i.scdn.co/image/ab67616d0000b27330f8e0f777376780c4077507,1,9,249853,https://p.scdn.co/mp3-preview/c6ee8dd50a435daae78f8a149027b2865c7b2891?cid=9950ac751e34487dbbe027c4fd7f8e99,False,48,GBAHT1000130,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"australian dance,dancefloor dnb,drum and bass",0.672,0.968,9.0,-3.371,0.0,0.119,1.25e-05,0.754,0.29,0.176,125.983,4.0,,WM UK,"C © 2010 Warner Music UK Limited, P ℗ 2010 Warner Music UK Limited",2010
9304,spotify:track:7lrDNvF3TwuC5vC2fGiMjy,Mess Is Mine,spotify:artist:10exVja0key0uqUkk6LJRT,Vance Joy,spotify:album:1TIkCvpgUWCpjKOuMVaGZD,Dream Your Life Away,spotify:artist:10exVja0key0uqUkk6LJRT,Vance Joy,2014-09-05,https://i.scdn.co/image/ab67616d0000b273bcf5a4f38fba7a4bceef0591,1,2,223640,,False,0,USAT21402865,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"folk-pop,modern rock",0.595,0.723,7.0,-8.256,1.0,0.0349,0.047,0.0286,0.0995,0.272,108.043,1.0,,Liberation Records,"C 2014 Liberation Music, P 2014 Liberation Music",2014
9305,spotify:track:4bIUVo06nIk2EkDIdVNwZp,Addicted,spotify:artist:2EvbFiMccizWo76HwbEaJX,Stevie Hoang,spotify:album:6Gte4Ooc56m5XlzJFJHj6H,This Is Me,spotify:artist:2EvbFiMccizWo76HwbEaJX,Stevie Hoang,2007,https://i.scdn.co/image/ab67616d0000b273ea5d2fa39cdf5acb01b6c62d,1,4,257000,https://p.scdn.co/mp3-preview/4f0e19cd75354cd8521e2d75c7decb128ba6549d?cid=9950ac751e34487dbbe027c4fd7f8e99,False,50,ushm81084222,spotify:user:bradnumber1,2021-08-08T09:26:31Z,hmong pop,0.798,0.737,1.0,-4.701,1.0,0.0323,0.216,0.0,0.0717,0.51,117.948,4.0,,stevie hoang music,"C 2010 stevie hoang music, P 2010 Stevie Hoang",2007
9307,spotify:track:0xeSDTXE4yc7AyF5pleSe5,Mean Woman Blues,spotify:artist:0JDkhL4rjiPNEp92jAgJnS,Roy Orbison,spotify:album:39L39Zc1OmLrQOY4P0xhhG,The Monument Singles Collection,spotify:artist:0JDkhL4rjiPNEp92jAgJnS,Roy Orbison,2011-04-25,https://i.scdn.co/image/ab67616d0000b273c8e397651625a503f15f26b3,2,8,143600,https://p.scdn.co/mp3-preview/f3fba71080bfa11ca1a4a97fcecf7b956018b1d6?cid=9950ac751e34487dbbe027c4fd7f8e99,False,39,USSM19802327,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"adult standards,classic rock,folk rock,mellow gold,rock-and-roll,rockabilly,singer-songwriter",0.325,0.789,9.0,-7.861,1.0,0.102,0.608,7.64e-05,0.0687,0.69,165.972,4.0,,Monument/Orbison Records/Legacy,P This Compilation (P) 2011 Sony Music Entertainment,2011
9310,spotify:track:6YJUNqM5ZomJTrC5peDFXT,Ain't Got Far to Go,spotify:artist:4ScCswdRlyA23odg9thgIO,Jess Glynne,spotify:album:2xVeccmEU0zklK4XSKiDCW,I Cry When I Laugh,spotify:artist:4ScCswdRlyA23odg9thgIO,Jess Glynne,2015,https://i.scdn.co/image/ab67616d0000b27363206b3659dd9055c39207b4,1,3,203498,https://p.scdn.co/mp3-preview/858882e6e84971f5bbc5c4f26491f9b6e5596e48?cid=9950ac751e34487dbbe027c4fd7f8e99,False,46,GBAHS1500225,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"pop,uk pop",0.491,0.841,5.0,-4.696,0.0,0.0761,0.0033,0.0,0.547,0.615,143.974,4.0,,Atlantic Records UK,"C © 2015 Atlantic Records UK Ltd, a Warner Music Group Company, P ℗ 2015 Atlantic Records UK Ltd, a Warner Music Group Company, except track 9 2013 Atlantic Records UK Ltd and track 13 2015 Disturbing London Records Limited under exclusive licence to Parlophone Records Limited",2015
9312,spotify:track:4JWQC6gyYoPRnxRxk0ta2M,Peer Pressure (feat. Julia Michaels),"spotify:artist:4EzkuveR9pLvDVFNx6foYD, spotify:artist:0ZED1XzwlLHW4ZaG4lOT6m","James Bay, Julia Michaels",spotify:album:4pPJ0Hwrvadty8bGsg4Msg,Peer Pressure (feat. Julia Michaels),"spotify:artist:4EzkuveR9pLvDVFNx6foYD, spotify:artist:0ZED1XzwlLHW4ZaG4lOT6m","James Bay, Julia Michaels",2019-02-22,https://i.scdn.co/image/ab67616d0000b2730256f9774fa82bbc8239cc1c,1,1,176880,,False,0,USUM71901255,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"neo mellow,pop,uk pop,pop",0.631,0.715,1.0,-6.083,0.0,0.0277,0.0299,0.0,0.121,0.42,135.826,4.0,,Republic Records,"C © 2019 Republic Records, a division of UMG Recordings, Inc., P ℗ 2019 Republic Records, a division of UMG Recordings, Inc.",2019
9313,spotify:track:5fJQ4FP7EL6Y89edK6P71F,The Crusher,spotify:artist:3J2hbYcBkNZOIbSDYiObRG,The Atlantics,spotify:album:35HLzJ3Gwn3C5mRykgGmax,The Atlantics the Best Of,spotify:artist:3J2hbYcBkNZOIbSDYiObRG,The Atlantics,2005-12-27,https://i.scdn.co/image/ab67616d0000b27323167e447e79a8692a42c879,1,7,184226,https://p.scdn.co/mp3-preview/fc4f16f8826c58b5976dfc523c664293a2bdf7bf?cid=9950ac751e34487dbbe027c4fd7f8e99,False,18,ushm90850532,spotify:user:bradnumber1,2021-08-08T09:26:31Z,surf music,0.425,0.862,9.0,-5.977,1.0,0.0518,8.5e-05,0.729,0.153,0.655,162.862,4.0,,Atlantics Music,"C (C) 2005 Atlantics Music, P (P) 2005 Atlantics Songs",2005
9314,spotify:track:2AIcgpyuLhNa35y4lyVZVz,"Hello Muddah, Hello Fadduh! (A Letter from Camp)",spotify:artist:1enLi8njBlk1YlDg44MtJm,Allan Sherman,spotify:album:7fqkOtgfcKOEC3lGJKZz8y,My Son the Nut,spotify:artist:1enLi8njBlk1YlDg44MtJm,Allan Sherman,2016-06-17,https://i.scdn.co/image/ab67616d0000b273dfbd97608aea583f3c6d13a4,1,7,174653,https://p.scdn.co/mp3-preview/cd043cdb848c4d54b1697bd5a025fddb9696e5a4?cid=9950ac751e34487dbbe027c4fd7f8e99,False,7,TCACP1646586,spotify:user:bradnumber1,2021-08-08T09:26:31Z,comic,0.619,0.409,9.0,-12.887,1.0,0.201,0.81,0.0,0.641,0.626,115.591,4.0,,Allan Sherman,"C 2016 Allan Sherman, P 2016 Allan Sherman",2016
9317,spotify:track:1NpW5kyvO4XrNJ3rnfcNy3,Wild Ones (feat. Sia),"spotify:artist:0jnsk9HBra6NMjO2oANoPY, spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Flo Rida, Sia",spotify:album:7eLwoxxWs6lfkVYJGkGNbk,Wild Ones,spotify:artist:0jnsk9HBra6NMjO2oANoPY,Flo Rida,2012-06-22,https://i.scdn.co/image/ab67616d0000b273871d85943145dde548f4ae09,1,2,232946,https://p.scdn.co/mp3-preview/d508be7a9bbcfafb67a58ff3b7f6954881d0c6b5?cid=9950ac751e34487dbbe027c4fd7f8e99,False,82,USAT21104103,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,miami hip hop,pop,pop rap,australian dance,australian pop,pop",0.608,0.86,5.0,-5.324,0.0,0.0554,0.0991,0.0,0.262,0.437,127.075,4.0,,Poe Boy/Atlantic,"C © 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States, P ℗ 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States",2012
9318,spotify:track:4bQ78Bblrn5d5Du8ZTiO8t,Come with Me,spotify:artist:7slfeZO9LsJbWgpkIoXBUJ,Ricky Martin,spotify:album:0x2sfLvoDGxmGhyza371pf,Mr. Put It Down,spotify:artist:7slfeZO9LsJbWgpkIoXBUJ,Ricky Martin,2013,https://i.scdn.co/image/ab67616d0000b2736860c8447d60d6e95aa4d698,1,3,217813,,False,0,USSD11300183,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"latin pop,mexican pop,puerto rican pop",0.614,0.913,1.0,-2.191,0.0,0.052,0.0689,0.0,0.0556,0.428,124.989,4.0,,Sony Music Latin,"P (P) 2013, 2014, 2015 Sony Music Entertainment US Latin LLC",2013
9319,spotify:track:0R9RcxbMmx4Q58IDFaKDJz,Lonely Blue Boy,spotify:artist:7gi3jmwpUpNWdswT8eEprF,Conway Twitty,spotify:album:5C43R8VfBKN6uIDeuAyORU,Here's Conway,spotify:artist:7gi3jmwpUpNWdswT8eEprF,Conway Twitty,2013-09-03,https://i.scdn.co/image/ab67616d0000b2735453a92e215caab4c7857fb7,1,8,136437,https://p.scdn.co/mp3-preview/b091095d55adddd9a80636339a3e738f320db506?cid=9950ac751e34487dbbe027c4fd7f8e99,False,2,GBGQH0604142,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"arkansas country,classic country pop,country,country rock",0.656,0.439,5.0,-9.489,1.0,0.0363,0.694,1.56e-06,0.117,0.671,112.851,3.0,,X5 Music Group,"C 2013 X5 Music Group, P 2013 X5 Music Group",2013
9320,spotify:track:2c5tyFBP9Z6YECjtu9URSi,Son of a Gun - Remastered for Fitness Beats,spotify:artist:3Pjm55EQ8msgG4DguAjrjv,JX,spotify:album:41Vv7GOiSTiKl4g0nyYhl9,THE BEST EVER: 90s Dance,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Various Artists,2015-03-11,https://i.scdn.co/image/ab67616d0000b273dc0cd6a0eea6df0d8a7dea7e,1,6,193481,,False,0,GBAMY1200006,spotify:user:bradnumber1,2021-08-08T09:26:31Z,,0.71,0.894,2.0,-6.675,1.0,0.0424,0.0081,0.571,0.0656,0.633,129.854,4.0,,Rhino,"C This Compilation 2015 Rhino UK, a division of Warner Music UK Ltd, P This Compilation 2015 Rhino UK, a division of Warner Music UK Ltd",2015
